Caracteristicas,Pães Integrais,,,Queijos semicurados,,,Bolos Citricos,,
,Com sementes,Fermentação Natural,Com castanhas e Frutas secas,Parmesão Jovem,Gouda,Canastra Meia Cura,Laranja com calda,Limão,Tangerina com cobertura leve
Clara,,X,,,,,,,
Clara a Média,,X,,,,,,,
Média,,,X,,,,,,
Média a Média Escura,X,,,,,,,,
Média a Escura,X,,,,,,,,
Fina a média,,,,X,,,,,
Média a fina,,,,,X,,,,
Média,,,,,,X,,,
Média a Média-Grosseira ,,,,,X,,,,
Pressão,,,,,,,,X,
Filtragem,,,,,,,X,,
Imersão,,,,,,,,,X
Comercial,,,,,,,,X,
