Variedade,Torra Recomendada,,,,,Moagem,,,,Métodos de Preparo,,,
,Clara,Clara a média,Média,Media a Media Escura,Média a escura,Fina a média,Média a fina,Média,Média a Média-Grosseira,Pressão,Filtragem,Imersão,Comercial
Robusta,,,,,X,X,,,,X,,,X
,,,,,,,,,,,,,
Conilon,,,,,X,X,,,,X,,,X
,,,,,,,,,,,,,
Arábica,,X,,,,,X,,,X,X,,
,,,,,,,,,,,,,
Bourbon,,X,,,,,X,,,,X,X,
,,,,,,,,,,,,,
Catuaí,,,X,,,,,X,,,,X,X
,,,,,,,,,,,,,
Mundo Novo,,,,X,,,,,X,,X,X,X
,,,,,,,,,,,,,
Caturra,,X,,,,,,X,,X,X,,
,,,,,,,,,,,,,
Acaiá,,X,,,,,X,,,,X,X,
,,,,,,,,,,,,,
Typica,X,,,,,,X,,,,,X,
,,,,,,,,,,,,,
Geisha,X,,,,,,X,,,,X,,
,,,,,,,,,,,,,
Maragogipe,,X,,,,,,X,,,X,,
,,,,,,,,,,,,,
Pacamara,,X,,,,,X,,,X,X,,
